,has_null,wave,gender,age,age_o,d_age,race,same_race,importance_same_race,importance_same_religion,field,pref_o_attractive,pref_o_sincere,pref_o_intelligence,pref_o_funny,pref_o_ambitious,pref_o_shared_interests,attractive_o,sincere_o,intelligence_o,funny_o,ambitous_o,shared_interests_o,attractive_important,sincere_important,intelligence_important,funny_important,ambition_important,shared_interests_important,attractive,sincere,intelligence,funny,ambition,attractive_partner,sincere_partner,intelligence_partner,funny_partner,ambition_partner,shared_interests_partner,sports,tvsports,exercise,dining,museums,art,hiking,gaming,clubbing,reading,tv,theater,movies,concerts,music,shopping,yoga,interests_correlate,expected_happy_with_sd_people,expected_num_interested_in_me,expected_num_matches,like,guess_prob_liked,met,decision,decision_o,match
766,0,2,male,28.0,26.0,2,european/caucasian-american,1,2.0,2.0,medicine,20.0,25.0,20.0,15.0,15.0,5.0,9.0,8.0,8.0,5.0,6.0,7.0,40.0,15.0,20.0,10.0,5.0,10.0,8.0,9.0,8.0,8.0,8.0,7.0,8.0,8.0,7.0,8.0,6.0,8.0,4.0,3.0,10.0,9.0,8.0,8.0,4.0,4.0,9.0,5.0,7.0,9.0,9.0,9.0,7.0,3.0,0.77,6.0,9.0,8.0,6.0,7.0,0.0,0,1,0
767,0,2,male,28.0,27.0,1,european/caucasian-american,1,2.0,2.0,medicine,10.0,10.0,30.0,25.0,10.0,15.0,7.0,7.0,7.0,4.0,7.0,4.0,40.0,15.0,20.0,10.0,5.0,10.0,8.0,9.0,8.0,8.0,8.0,7.0,8.0,8.0,7.0,8.0,7.0,8.0,4.0,3.0,10.0,9.0,8.0,8.0,4.0,4.0,9.0,5.0,7.0,9.0,9.0,9.0,7.0,3.0,0.46,6.0,9.0,8.0,7.0,7.0,0.0,0,1,0
768,0,2,male,28.0,23.0,5,european/caucasian-american,0,2.0,2.0,medicine,50.0,10.0,20.0,10.0,10.0,0.0,3.0,9.0,9.0,3.0,9.0,5.0,40.0,15.0,20.0,10.0,5.0,10.0,8.0,9.0,8.0,8.0,8.0,6.0,9.0,9.0,8.0,9.0,6.0,8.0,4.0,3.0,10.0,9.0,8.0,8.0,4.0,4.0,9.0,5.0,7.0,9.0,9.0,9.0,7.0,3.0,0.22,6.0,9.0,8.0,6.0,6.0,0.0,0,0,0
770,0,2,male,28.0,21.0,7,european/caucasian-american,0,1.0,1.0,mba,12.0,18.0,20.0,16.0,16.0,18.0,6.0,8.0,7.0,6.0,8.0,2.0,40.0,20.0,20.0,20.0,0.0,0.0,8.0,9.0,8.0,8.0,8.0,5.0,7.0,7.0,7.0,7.0,5.0,5.0,2.0,2.0,8.0,7.0,8.0,8.0,1.0,3.0,7.0,1.0,8.0,6.0,9.0,9.0,1.0,3.0,-0.2,7.0,5.0,2.0,5.0,5.0,0.0,0,0,0
771,0,2,male,28.0,27.0,1,european/caucasian-american,0,1.0,1.0,mba,20.0,20.0,20.0,10.0,10.0,20.0,4.0,5.0,5.0,4.0,5.0,4.0,40.0,20.0,20.0,20.0,0.0,0.0,8.0,9.0,8.0,8.0,8.0,4.0,7.0,7.0,6.0,6.0,5.0,5.0,2.0,2.0,8.0,7.0,8.0,8.0,1.0,3.0,7.0,1.0,8.0,6.0,9.0,9.0,1.0,3.0,0.33,7.0,5.0,2.0,6.0,4.0,0.0,0,0,0
772,0,2,male,28.0,21.0,7,european/caucasian-american,0,1.0,1.0,mba,10.0,20.0,40.0,10.0,10.0,10.0,6.0,7.0,6.0,6.0,5.0,5.0,40.0,20.0,20.0,20.0,0.0,0.0,8.0,9.0,8.0,8.0,8.0,6.0,7.0,7.0,7.0,9.0,7.0,5.0,2.0,2.0,8.0,7.0,8.0,8.0,1.0,3.0,7.0,1.0,8.0,6.0,9.0,9.0,1.0,3.0,0.35,7.0,5.0,2.0,7.0,5.0,0.0,1,0,0
774,0,2,male,28.0,25.0,3,european/caucasian-american,1,1.0,1.0,mba,20.0,20.0,15.0,15.0,15.0,15.0,5.0,8.0,8.0,6.0,9.0,6.0,40.0,20.0,20.0,20.0,0.0,0.0,8.0,9.0,8.0,8.0,8.0,8.0,9.0,9.0,9.0,7.0,5.0,5.0,2.0,2.0,8.0,7.0,8.0,8.0,1.0,3.0,7.0,1.0,8.0,6.0,9.0,9.0,1.0,3.0,-0.15,7.0,5.0,2.0,7.0,5.0,0.0,1,0,0
775,0,2,male,28.0,23.0,5,european/caucasian-american,1,1.0,1.0,mba,20.0,20.0,20.0,15.0,15.0,10.0,2.0,8.0,7.0,2.0,7.0,2.0,40.0,20.0,20.0,20.0,0.0,0.0,8.0,9.0,8.0,8.0,8.0,8.0,8.0,7.0,8.0,7.0,6.0,5.0,2.0,2.0,8.0,7.0,8.0,8.0,1.0,3.0,7.0,1.0,8.0,6.0,9.0,9.0,1.0,3.0,0.16,7.0,5.0,2.0,7.0,4.0,0.0,1,0,0
776,0,2,male,28.0,22.0,6,european/caucasian-american,0,1.0,1.0,mba,17.0,10.0,18.0,20.0,25.0,10.0,2.0,4.0,7.0,3.0,6.0,2.0,40.0,20.0,20.0,20.0,0.0,0.0,8.0,9.0,8.0,8.0,8.0,9.0,9.0,8.0,9.0,8.0,7.0,5.0,2.0,2.0,8.0,7.0,8.0,8.0,1.0,3.0,7.0,1.0,8.0,6.0,9.0,9.0,1.0,3.0,-0.06,7.0,5.0,2.0,8.0,5.0,0.0,1,0,0
778,0,2,male,28.0,22.0,6,european/caucasian-american,1,1.0,1.0,mba,20.0,22.0,18.0,15.0,15.0,10.0,6.0,7.0,6.0,4.0,6.0,5.0,40.0,20.0,20.0,20.0,0.0,0.0,8.0,9.0,8.0,8.0,8.0,5.0,8.0,7.0,7.0,7.0,5.0,5.0,2.0,2.0,8.0,7.0,8.0,8.0,1.0,3.0,7.0,1.0,8.0,6.0,9.0,9.0,1.0,3.0,-0.16,7.0,5.0,2.0,6.0,6.0,0.0,0,0,0
779,0,2,male,28.0,23.0,5,european/caucasian-american,1,1.0,1.0,mba,10.0,20.0,20.0,20.0,20.0,10.0,3.0,5.0,8.0,4.0,7.0,6.0,40.0,20.0,20.0,20.0,0.0,0.0,8.0,9.0,8.0,8.0,8.0,6.0,8.0,8.0,7.0,8.0,6.0,5.0,2.0,2.0,8.0,7.0,8.0,8.0,1.0,3.0,7.0,1.0,8.0,6.0,9.0,9.0,1.0,3.0,0.21,7.0,5.0,2.0,6.0,5.0,0.0,0,0,0
780,0,2,male,28.0,24.0,4,european/caucasian-american,1,1.0,1.0,mba,35.0,10.0,20.0,20.0,10.0,5.0,4.0,5.0,6.0,4.0,5.0,5.0,40.0,20.0,20.0,20.0,0.0,0.0,8.0,9.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,7.0,7.0,5.0,2.0,2.0,8.0,7.0,8.0,8.0,1.0,3.0,7.0,1.0,8.0,6.0,9.0,9.0,1.0,3.0,0.26,7.0,5.0,2.0,7.0,6.0,0.0,1,0,0
781,0,2,male,28.0,27.0,1,european/caucasian-american,0,1.0,1.0,mba,50.0,0.0,50.0,0.0,0.0,0.0,7.0,6.0,9.0,8.0,9.0,9.0,40.0,20.0,20.0,20.0,0.0,0.0,8.0,9.0,8.0,8.0,8.0,7.0,8.0,8.0,7.0,8.0,6.0,5.0,2.0,2.0,8.0,7.0,8.0,8.0,1.0,3.0,7.0,1.0,8.0,6.0,9.0,9.0,1.0,3.0,0.19,7.0,5.0,2.0,7.0,5.0,0.0,1,0,0
782,0,2,male,28.0,30.0,2,european/caucasian-american,1,1.0,1.0,mba,30.0,20.0,30.0,10.0,0.0,10.0,5.0,6.0,5.0,5.0,6.0,8.0,40.0,20.0,20.0,20.0,0.0,0.0,8.0,9.0,8.0,8.0,8.0,5.0,8.0,8.0,7.0,7.0,7.0,5.0,2.0,2.0,8.0,7.0,8.0,8.0,1.0,3.0,7.0,1.0,8.0,6.0,9.0,9.0,1.0,3.0,-0.29,7.0,5.0,2.0,6.0,5.0,0.0,0,0,0
783,0,2,male,28.0,21.0,7,european/caucasian-american,0,1.0,1.0,mba,30.0,5.0,30.0,15.0,15.0,5.0,4.0,6.0,6.0,5.0,7.0,3.0,40.0,20.0,20.0,20.0,0.0,0.0,8.0,9.0,8.0,8.0,8.0,8.0,8.0,7.0,8.0,7.0,7.0,5.0,2.0,2.0,8.0,7.0,8.0,8.0,1.0,3.0,7.0,1.0,8.0,6.0,9.0,9.0,1.0,3.0,0.16,7.0,5.0,2.0,7.0,7.0,0.0,1,0,0
784,0,2,male,28.0,25.0,3,european/caucasian-american,1,1.0,1.0,mba,20.0,23.0,23.0,22.0,7.0,5.0,6.0,8.0,8.0,6.0,7.0,9.0,40.0,20.0,20.0,20.0,0.0,0.0,8.0,9.0,8.0,8.0,8.0,8.0,8.0,9.0,7.0,8.0,7.0,5.0,2.0,2.0,8.0,7.0,8.0,8.0,1.0,3.0,7.0,1.0,8.0,6.0,9.0,9.0,1.0,3.0,-0.29,7.0,5.0,2.0,7.0,6.0,0.0,1,0,0
785,0,2,male,28.0,26.0,2,european/caucasian-american,1,1.0,1.0,mba,20.0,25.0,20.0,15.0,15.0,5.0,3.0,4.0,6.0,4.0,5.0,2.0,40.0,20.0,20.0,20.0,0.0,0.0,8.0,9.0,8.0,8.0,8.0,9.0,8.0,7.0,6.0,7.0,6.0,5.0,2.0,2.0,8.0,7.0,8.0,8.0,1.0,3.0,7.0,1.0,8.0,6.0,9.0,9.0,1.0,3.0,0.83,7.0,5.0,2.0,7.0,6.0,0.0,0,0,0
786,0,2,male,28.0,27.0,1,european/caucasian-american,1,1.0,1.0,mba,10.0,10.0,30.0,25.0,10.0,15.0,4.0,3.0,4.0,2.0,3.0,3.0,40.0,20.0,20.0,20.0,0.0,0.0,8.0,9.0,8.0,8.0,8.0,6.0,8.0,7.0,6.0,8.0,6.0,5.0,2.0,2.0,8.0,7.0,8.0,8.0,1.0,3.0,7.0,1.0,8.0,6.0,9.0,9.0,1.0,3.0,0.68,7.0,5.0,2.0,7.0,5.0,0.0,0,0,0
787,0,2,male,28.0,23.0,5,european/caucasian-american,0,1.0,1.0,mba,50.0,10.0,20.0,10.0,10.0,0.0,3.0,9.0,9.0,5.0,9.0,5.0,40.0,20.0,20.0,20.0,0.0,0.0,8.0,9.0,8.0,8.0,8.0,6.0,8.0,9.0,7.0,8.0,6.0,5.0,2.0,2.0,8.0,7.0,8.0,8.0,1.0,3.0,7.0,1.0,8.0,6.0,9.0,9.0,1.0,3.0,0.11,7.0,5.0,2.0,6.0,3.0,0.0,0,0,0
789,0,2,male,23.0,21.0,2,black/african american,0,1.0,1.0,law,12.0,18.0,20.0,16.0,16.0,18.0,5.0,9.0,9.0,8.0,9.0,5.0,20.0,25.0,25.0,10.0,10.0,10.0,6.0,10.0,10.0,9.0,10.0,5.0,8.0,10.0,7.0,9.0,5.0,10.0,8.0,4.0,5.0,5.0,4.0,1.0,6.0,10.0,9.0,7.0,5.0,10.0,7.0,10.0,5.0,1.0,0.39,7.0,5.0,2.0,6.0,6.0,0.0,0,0,0
790,0,2,male,23.0,27.0,4,black/african american,1,1.0,1.0,law,20.0,20.0,20.0,10.0,10.0,20.0,6.0,7.0,7.0,7.0,7.0,7.0,20.0,25.0,25.0,10.0,10.0,10.0,6.0,10.0,10.0,9.0,10.0,5.0,8.0,9.0,7.0,10.0,8.0,10.0,8.0,4.0,5.0,5.0,4.0,1.0,6.0,10.0,9.0,7.0,5.0,10.0,7.0,10.0,5.0,1.0,0.16,7.0,5.0,2.0,7.0,7.0,0.0,0,1,0
791,0,2,male,23.0,21.0,2,black/african american,0,1.0,1.0,law,10.0,20.0,40.0,10.0,10.0,10.0,6.0,8.0,7.0,6.0,7.0,5.0,20.0,25.0,25.0,10.0,10.0,10.0,6.0,10.0,10.0,9.0,10.0,6.0,9.0,10.0,8.0,10.0,7.0,10.0,8.0,4.0,5.0,5.0,4.0,1.0,6.0,10.0,9.0,7.0,5.0,10.0,7.0,10.0,5.0,1.0,0.1,7.0,5.0,2.0,7.0,7.0,0.0,0,0,0
793,0,2,male,23.0,25.0,2,black/african american,0,1.0,1.0,law,20.0,20.0,15.0,15.0,15.0,15.0,7.0,7.0,7.0,8.0,8.0,6.0,20.0,25.0,25.0,10.0,10.0,10.0,6.0,10.0,10.0,9.0,10.0,8.0,9.0,8.0,10.0,9.0,8.0,10.0,8.0,4.0,5.0,5.0,4.0,1.0,6.0,10.0,9.0,7.0,5.0,10.0,7.0,10.0,5.0,1.0,0.53,7.0,5.0,2.0,9.0,6.0,0.0,1,0,0
794,0,2,male,23.0,23.0,0,black/african american,0,1.0,1.0,law,20.0,20.0,20.0,15.0,15.0,10.0,6.0,6.0,6.0,6.0,6.0,4.0,20.0,25.0,25.0,10.0,10.0,10.0,6.0,10.0,10.0,9.0,10.0,8.0,9.0,8.0,9.0,9.0,8.0,10.0,8.0,4.0,5.0,5.0,4.0,1.0,6.0,10.0,9.0,7.0,5.0,10.0,7.0,10.0,5.0,1.0,0.03,7.0,5.0,2.0,9.0,7.0,0.0,1,0,0
795,0,2,male,23.0,22.0,1,black/african american,0,1.0,1.0,law,17.0,10.0,18.0,20.0,25.0,10.0,5.0,6.0,6.0,4.0,3.0,4.0,20.0,25.0,25.0,10.0,10.0,10.0,6.0,10.0,10.0,9.0,10.0,9.0,8.0,9.0,10.0,9.0,8.0,10.0,8.0,4.0,5.0,5.0,4.0,1.0,6.0,10.0,9.0,7.0,5.0,10.0,7.0,10.0,5.0,1.0,-0.16,7.0,5.0,2.0,10.0,7.0,0.0,1,0,0
797,0,2,male,23.0,22.0,1,black/african american,0,1.0,1.0,law,20.0,22.0,18.0,15.0,15.0,10.0,6.0,8.0,7.0,6.0,5.0,3.0,20.0,25.0,25.0,10.0,10.0,10.0,6.0,10.0,10.0,9.0,10.0,6.0,8.0,8.0,8.0,9.0,6.0,10.0,8.0,4.0,5.0,5.0,4.0,1.0,6.0,10.0,9.0,7.0,5.0,10.0,7.0,10.0,5.0,1.0,0.52,7.0,5.0,2.0,7.0,8.0,0.0,0,1,0
798,0,2,male,23.0,23.0,0,black/african american,0,1.0,1.0,law,10.0,20.0,20.0,20.0,20.0,10.0,7.0,7.0,8.0,8.0,7.0,8.0,20.0,25.0,25.0,10.0,10.0,10.0,6.0,10.0,10.0,9.0,10.0,7.0,9.0,10.0,10.0,10.0,10.0,10.0,8.0,4.0,5.0,5.0,4.0,1.0,6.0,10.0,9.0,7.0,5.0,10.0,7.0,10.0,5.0,1.0,0.49,7.0,5.0,2.0,8.0,9.0,0.0,1,1,1
799,0,2,male,23.0,24.0,1,black/african american,0,1.0,1.0,law,35.0,10.0,20.0,20.0,10.0,5.0,9.0,8.0,7.0,10.0,9.0,8.0,20.0,25.0,25.0,10.0,10.0,10.0,6.0,10.0,10.0,9.0,10.0,8.0,10.0,10.0,10.0,10.0,8.0,10.0,8.0,4.0,5.0,5.0,4.0,1.0,6.0,10.0,9.0,7.0,5.0,10.0,7.0,10.0,5.0,1.0,-0.32,7.0,5.0,2.0,10.0,10.0,1.0,1,1,1
800,0,2,male,23.0,27.0,4,black/african american,0,1.0,1.0,law,50.0,0.0,50.0,0.0,0.0,0.0,8.0,8.0,7.0,9.0,7.0,5.0,20.0,25.0,25.0,10.0,10.0,10.0,6.0,10.0,10.0,9.0,10.0,6.0,8.0,10.0,8.0,7.0,7.0,10.0,8.0,4.0,5.0,5.0,4.0,1.0,6.0,10.0,9.0,7.0,5.0,10.0,7.0,10.0,5.0,1.0,0.2,7.0,5.0,2.0,8.0,7.0,0.0,0,0,0
801,0,2,male,23.0,30.0,7,black/african american,0,1.0,1.0,law,30.0,20.0,30.0,10.0,0.0,10.0,7.0,7.0,6.0,6.0,6.0,4.0,20.0,25.0,25.0,10.0,10.0,10.0,6.0,10.0,10.0,9.0,10.0,6.0,9.0,9.0,8.0,8.0,7.0,10.0,8.0,4.0,5.0,5.0,4.0,1.0,6.0,10.0,9.0,7.0,5.0,10.0,7.0,10.0,5.0,1.0,-0.15,7.0,5.0,2.0,8.0,7.0,0.0,0,0,0
802,0,2,male,23.0,21.0,2,black/african american,0,1.0,1.0,law,30.0,5.0,30.0,15.0,15.0,5.0,4.0,4.0,5.0,6.0,6.0,5.0,20.0,25.0,25.0,10.0,10.0,10.0,6.0,10.0,10.0,9.0,10.0,8.0,9.0,10.0,9.0,10.0,9.0,10.0,8.0,4.0,5.0,5.0,4.0,1.0,6.0,10.0,9.0,7.0,5.0,10.0,7.0,10.0,5.0,1.0,0.5,7.0,5.0,2.0,10.0,10.0,0.0,1,0,0
803,0,2,male,23.0,25.0,2,black/african american,0,1.0,1.0,law,20.0,23.0,23.0,22.0,7.0,5.0,6.0,8.0,8.0,8.0,8.0,6.0,20.0,25.0,25.0,10.0,10.0,10.0,6.0,10.0,10.0,9.0,10.0,8.0,8.0,8.0,9.0,9.0,8.0,10.0,8.0,4.0,5.0,5.0,4.0,1.0,6.0,10.0,9.0,7.0,5.0,10.0,7.0,10.0,5.0,1.0,0.33,7.0,5.0,2.0,8.0,5.0,0.0,1,0,0
804,0,2,male,23.0,26.0,3,black/african american,0,1.0,1.0,law,20.0,25.0,20.0,15.0,15.0,5.0,5.0,6.0,8.0,6.0,8.0,4.0,20.0,25.0,25.0,10.0,10.0,10.0,6.0,10.0,10.0,9.0,10.0,6.0,9.0,9.0,8.0,9.0,7.0,10.0,8.0,4.0,5.0,5.0,4.0,1.0,6.0,10.0,9.0,7.0,5.0,10.0,7.0,10.0,5.0,1.0,-0.12,7.0,5.0,2.0,7.0,8.0,0.0,1,0,0
806,0,2,male,23.0,23.0,0,black/african american,1,1.0,1.0,law,50.0,10.0,20.0,10.0,10.0,0.0,8.0,8.0,8.0,8.0,9.0,8.0,20.0,25.0,25.0,10.0,10.0,10.0,6.0,10.0,10.0,9.0,10.0,8.0,10.0,10.0,10.0,10.0,10.0,10.0,8.0,4.0,5.0,5.0,4.0,1.0,6.0,10.0,9.0,7.0,5.0,10.0,7.0,10.0,5.0,1.0,0.11,7.0,5.0,2.0,10.0,10.0,1.0,1,1,1
808,0,3,female,23.0,29.0,6,european/caucasian-american,0,10.0,9.0,social work,20.0,25.0,15.0,15.0,53.0,20.0,7.0,6.0,6.0,7.0,9.0,5.0,17.0,18.0,18.0,15.0,17.0,15.0,10.0,10.0,9.0,8.0,5.0,2.0,6.0,2.0,3.0,2.0,3.0,2.0,1.0,10.0,10.0,5.0,5.0,2.0,1.0,7.0,6.0,8.0,8.0,7.0,6.0,9.0,10.0,4.0,0.26,3.0,15.0,3.0,2.0,5.0,0.0,0,1,0
809,0,3,female,23.0,22.0,1,european/caucasian-american,0,10.0,9.0,social work,20.0,15.0,20.0,20.0,5.0,10.0,8.0,8.0,7.0,7.0,7.0,5.0,17.0,18.0,18.0,15.0,17.0,15.0,10.0,10.0,9.0,8.0,5.0,3.0,9.0,9.0,7.0,9.0,7.0,2.0,1.0,10.0,10.0,5.0,5.0,2.0,1.0,7.0,6.0,8.0,8.0,7.0,6.0,9.0,10.0,4.0,-0.15,3.0,15.0,3.0,5.0,6.0,0.0,0,1,0
812,0,3,female,23.0,26.0,3,european/caucasian-american,1,10.0,9.0,social work,25.0,10.0,20.0,20.0,15.0,10.0,8.0,6.0,7.0,7.0,7.0,5.0,17.0,18.0,18.0,15.0,17.0,15.0,10.0,10.0,9.0,8.0,5.0,4.0,7.0,9.0,9.0,10.0,7.0,2.0,1.0,10.0,10.0,5.0,5.0,2.0,1.0,7.0,6.0,8.0,8.0,7.0,6.0,9.0,10.0,4.0,0.07,3.0,15.0,3.0,9.0,9.0,0.0,1,1,1
813,0,3,female,23.0,21.0,2,european/caucasian-american,1,10.0,9.0,social work,60.0,15.0,0.0,15.0,0.0,10.0,9.0,8.0,8.0,10.0,9.0,6.0,17.0,18.0,18.0,15.0,17.0,15.0,10.0,10.0,9.0,8.0,5.0,3.0,10.0,8.0,6.0,7.0,7.0,2.0,1.0,10.0,10.0,5.0,5.0,2.0,1.0,7.0,6.0,8.0,8.0,7.0,6.0,9.0,10.0,4.0,-0.37,3.0,15.0,3.0,5.0,10.0,0.0,0,1,0
814,0,3,female,23.0,22.0,1,european/caucasian-american,1,10.0,9.0,social work,21.0,20.0,19.0,20.0,10.0,10.0,7.0,8.0,7.0,5.0,7.0,5.0,17.0,18.0,18.0,15.0,17.0,15.0,10.0,10.0,9.0,8.0,5.0,3.0,10.0,5.0,3.0,5.0,4.0,2.0,1.0,10.0,10.0,5.0,5.0,2.0,1.0,7.0,6.0,8.0,8.0,7.0,6.0,9.0,10.0,4.0,0.65,3.0,15.0,3.0,3.0,10.0,0.0,0,1,0
815,0,3,female,23.0,22.0,1,european/caucasian-american,1,10.0,9.0,social work,30.0,10.0,20.0,30.0,0.0,10.0,7.0,7.0,6.0,5.0,4.0,5.0,17.0,18.0,18.0,15.0,17.0,15.0,10.0,10.0,9.0,8.0,5.0,4.0,10.0,9.0,8.0,9.0,7.0,2.0,1.0,10.0,10.0,5.0,5.0,2.0,1.0,7.0,6.0,8.0,8.0,7.0,6.0,9.0,10.0,4.0,-0.31,3.0,15.0,3.0,6.0,8.0,0.0,1,0,0
816,0,3,female,23.0,25.0,2,european/caucasian-american,1,10.0,9.0,social work,30.0,0.0,30.0,30.0,10.0,0.0,8.0,10.0,8.0,8.0,10.0,5.0,17.0,18.0,18.0,15.0,17.0,15.0,10.0,10.0,9.0,8.0,5.0,3.0,10.0,7.0,3.0,5.0,2.0,2.0,1.0,10.0,10.0,5.0,5.0,2.0,1.0,7.0,6.0,8.0,8.0,7.0,6.0,9.0,10.0,4.0,-0.06,3.0,15.0,3.0,3.0,3.0,0.0,0,0,0
817,0,3,female,23.0,24.0,1,european/caucasian-american,0,10.0,9.0,social work,20.0,20.0,20.0,20.0,10.0,10.0,8.0,6.0,6.0,7.0,7.0,5.0,17.0,18.0,18.0,15.0,17.0,15.0,10.0,10.0,9.0,8.0,5.0,3.0,10.0,9.0,2.0,9.0,3.0,2.0,1.0,10.0,10.0,5.0,5.0,2.0,1.0,7.0,6.0,8.0,8.0,7.0,6.0,9.0,10.0,4.0,0.37,3.0,15.0,3.0,3.0,6.0,0.0,0,1,0
818,0,3,female,22.0,29.0,7,european/caucasian-american,0,10.0,10.0,social work,20.0,25.0,15.0,15.0,53.0,20.0,4.0,7.0,7.0,6.0,6.0,5.0,10.0,20.0,20.0,20.0,15.0,15.0,6.0,10.0,10.0,9.0,10.0,8.0,7.0,7.0,7.0,7.0,7.0,4.0,4.0,5.0,9.0,9.0,9.0,9.0,1.0,5.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,0.23,9.0,12.0,3.0,8.0,7.0,0.0,0,0,0
819,0,3,female,22.0,22.0,0,european/caucasian-american,0,10.0,10.0,social work,20.0,15.0,20.0,20.0,5.0,10.0,5.0,10.0,7.0,5.0,4.0,1.0,10.0,20.0,20.0,20.0,15.0,15.0,6.0,10.0,10.0,9.0,10.0,8.0,8.0,8.0,7.0,8.0,1.0,4.0,4.0,5.0,9.0,9.0,9.0,9.0,1.0,5.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,-0.01,9.0,12.0,3.0,5.0,5.0,0.0,0,0,0
820,0,3,female,22.0,27.0,5,european/caucasian-american,0,10.0,10.0,social work,21.0,17.0,22.0,20.0,8.0,13.0,5.0,6.0,6.0,5.0,5.0,4.0,10.0,20.0,20.0,20.0,15.0,15.0,6.0,10.0,10.0,9.0,10.0,7.0,6.0,9.0,7.0,7.0,7.0,4.0,4.0,5.0,9.0,9.0,9.0,9.0,1.0,5.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,0.68,9.0,12.0,3.0,8.0,7.0,0.0,0,0,0
822,0,3,female,22.0,26.0,4,european/caucasian-american,1,10.0,10.0,social work,25.0,10.0,20.0,20.0,15.0,10.0,5.0,8.0,7.0,5.0,5.0,4.0,10.0,20.0,20.0,20.0,15.0,15.0,6.0,10.0,10.0,9.0,10.0,8.0,10.0,10.0,10.0,10.0,10.0,4.0,4.0,5.0,9.0,9.0,9.0,9.0,1.0,5.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,0.02,9.0,12.0,3.0,10.0,8.0,0.0,1,0,0
823,0,3,female,22.0,21.0,1,european/caucasian-american,1,10.0,10.0,social work,60.0,15.0,0.0,15.0,0.0,10.0,6.0,9.0,8.0,6.0,8.0,6.0,10.0,20.0,20.0,20.0,15.0,15.0,6.0,10.0,10.0,9.0,10.0,10.0,9.0,9.0,8.0,8.0,7.0,4.0,4.0,5.0,9.0,9.0,9.0,9.0,1.0,5.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,-0.34,9.0,12.0,3.0,8.0,7.0,0.0,1,1,1
824,0,3,female,22.0,22.0,0,european/caucasian-american,1,10.0,10.0,social work,21.0,20.0,19.0,20.0,10.0,10.0,5.0,8.0,8.0,7.0,7.0,7.0,10.0,20.0,20.0,20.0,15.0,15.0,6.0,10.0,10.0,9.0,10.0,10.0,10.0,10.0,10.0,9.0,9.0,4.0,4.0,5.0,9.0,9.0,9.0,9.0,1.0,5.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,0.44,9.0,12.0,3.0,8.0,7.0,0.0,1,0,0
825,0,3,female,22.0,22.0,0,european/caucasian-american,1,10.0,10.0,social work,30.0,10.0,20.0,30.0,0.0,10.0,6.0,8.0,6.0,6.0,6.0,5.0,10.0,20.0,20.0,20.0,15.0,15.0,6.0,10.0,10.0,9.0,10.0,10.0,10.0,10.0,10.0,10.0,9.0,4.0,4.0,5.0,9.0,9.0,9.0,9.0,1.0,5.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,-0.58,9.0,12.0,3.0,8.0,7.0,0.0,1,0,0
826,0,3,female,22.0,25.0,3,european/caucasian-american,1,10.0,10.0,social work,30.0,0.0,30.0,30.0,10.0,0.0,7.0,6.0,6.0,8.0,6.0,5.0,10.0,20.0,20.0,20.0,15.0,15.0,6.0,10.0,10.0,9.0,10.0,8.0,9.0,10.0,10.0,9.0,10.0,4.0,4.0,5.0,9.0,9.0,9.0,9.0,1.0,5.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,0.34,9.0,12.0,3.0,9.0,8.0,3.0,0,0,0
827,0,3,female,22.0,24.0,2,european/caucasian-american,0,10.0,10.0,social work,20.0,20.0,20.0,20.0,10.0,10.0,6.0,8.0,7.0,6.0,5.0,5.0,10.0,20.0,20.0,20.0,15.0,15.0,6.0,10.0,10.0,9.0,10.0,8.0,8.0,10.0,10.0,9.0,7.0,4.0,4.0,5.0,9.0,9.0,9.0,9.0,1.0,5.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,0.23,9.0,12.0,3.0,8.0,8.0,0.0,0,1,0
850,0,3,female,29.0,27.0,2,other,0,3.0,10.0,psychology,21.0,17.0,22.0,20.0,8.0,13.0,3.0,6.0,5.0,4.0,6.0,4.0,5.0,20.0,25.0,15.0,15.0,20.0,7.0,9.0,9.0,9.0,9.0,5.0,1.0,9.0,1.0,1.0,1.0,3.0,1.0,9.0,9.0,5.0,5.0,3.0,1.0,5.0,5.0,2.0,10.0,7.0,6.0,9.0,5.0,5.0,0.28,4.0,10.0,2.0,2.0,1.0,0.0,0,0,0
852,0,3,female,29.0,26.0,3,other,0,3.0,10.0,psychology,25.0,10.0,20.0,20.0,15.0,10.0,6.0,6.0,6.0,8.0,6.0,5.0,5.0,20.0,25.0,15.0,15.0,20.0,7.0,9.0,9.0,9.0,9.0,6.0,10.0,10.0,8.0,8.0,8.0,3.0,1.0,9.0,9.0,5.0,5.0,3.0,1.0,5.0,5.0,2.0,10.0,7.0,6.0,9.0,5.0,5.0,0.45,4.0,10.0,2.0,6.0,2.0,0.0,0,0,0
